split_id,bin,bin_left,bin_right,n,mean_pred,frac_pos
0,0,0.0,0.1,7,0.0453360725629522,0.14285714285714285
0,1,0.1,0.2,0,,
0,2,0.2,0.30000000000000004,0,,
0,3,0.30000000000000004,0.4,1,0.391437184918257,1.0
0,4,0.4,0.5,0,,
0,5,0.5,0.6000000000000001,0,,
0,6,0.6000000000000001,0.7000000000000001,1,0.6458920063878693,1.0
0,7,0.7000000000000001,0.8,0,,
0,8,0.8,0.9,2,0.8461071041030265,1.0
0,9,0.9,1.0,3,0.9436101275662613,1.0
1,0,0.0,0.1,7,0.008505277689265284,0.0
1,1,0.1,0.2,2,0.13455733110045848,0.0
1,2,0.2,0.30000000000000004,0,,
1,3,0.30000000000000004,0.4,0,,
1,4,0.4,0.5,1,0.4268823389047139,1.0
1,5,0.5,0.6000000000000001,0,,
1,6,0.6000000000000001,0.7000000000000001,0,,
1,7,0.7000000000000001,0.8,0,,
1,8,0.8,0.9,1,0.8659232821842628,1.0
1,9,0.9,1.0,3,0.9524791029394675,1.0
2,0,0.0,0.1,5,0.02070176151871335,0.0
2,1,0.1,0.2,3,0.17781221525117932,0.0
2,2,0.2,0.30000000000000004,0,,
2,3,0.30000000000000004,0.4,0,,
2,4,0.4,0.5,0,,
2,5,0.5,0.6000000000000001,0,,
2,6,0.6000000000000001,0.7000000000000001,0,,
2,7,0.7000000000000001,0.8,0,,
2,8,0.8,0.9,2,0.828730112825835,1.0
2,9,0.9,1.0,4,0.9648089014866184,1.0
3,0,0.0,0.1,6,0.040763377234902115,0.0
3,1,0.1,0.2,1,0.1248191436668405,0.0
3,2,0.2,0.30000000000000004,0,,
3,3,0.30000000000000004,0.4,0,,
3,4,0.4,0.5,0,,
3,5,0.5,0.6000000000000001,0,,
3,6,0.6000000000000001,0.7000000000000001,1,0.6631811579559326,1.0
3,7,0.7000000000000001,0.8,0,,
3,8,0.8,0.9,2,0.8390537671235847,1.0
3,9,0.9,1.0,4,0.9720797251751971,1.0
4,0,0.0,0.1,5,0.014805586533118417,0.2
4,1,0.1,0.2,0,,
4,2,0.2,0.30000000000000004,0,,
4,3,0.30000000000000004,0.4,0,,
4,4,0.4,0.5,2,0.45411806892854545,1.0
4,5,0.5,0.6000000000000001,1,0.5604910492478403,1.0
4,6,0.6000000000000001,0.7000000000000001,0,,
4,7,0.7000000000000001,0.8,1,0.7506852650408338,1.0
4,8,0.8,0.9,0,,
4,9,0.9,1.0,5,0.9553948467455917,1.0
5,0,0.0,0.1,9,0.030238811182951977,0.0
5,1,0.1,0.2,1,0.15001273560128886,0.0
5,2,0.2,0.30000000000000004,0,,
5,3,0.30000000000000004,0.4,0,,
5,4,0.4,0.5,0,,
5,5,0.5,0.6000000000000001,0,,
5,6,0.6000000000000001,0.7000000000000001,0,,
5,7,0.7000000000000001,0.8,0,,
5,8,0.8,0.9,0,,
5,9,0.9,1.0,4,0.9498569223737348,1.0
6,0,0.0,0.1,5,0.024394587806086408,0.0
6,1,0.1,0.2,0,,
6,2,0.2,0.30000000000000004,0,,
6,3,0.30000000000000004,0.4,0,,
6,4,0.4,0.5,0,,
6,5,0.5,0.6000000000000001,0,,
6,6,0.6000000000000001,0.7000000000000001,0,,
6,7,0.7000000000000001,0.8,1,0.7562548275098928,1.0
6,8,0.8,0.9,0,,
6,9,0.9,1.0,8,0.976271405970178,1.0
7,0,0.0,0.1,6,0.03383612271175018,0.0
7,1,0.1,0.2,0,,
7,2,0.2,0.30000000000000004,0,,
7,3,0.30000000000000004,0.4,1,0.30216297058747527,1.0
7,4,0.4,0.5,0,,
7,5,0.5,0.6000000000000001,0,,
7,6,0.6000000000000001,0.7000000000000001,0,,
7,7,0.7000000000000001,0.8,0,,
7,8,0.8,0.9,2,0.8788995045973209,1.0
7,9,0.9,1.0,5,0.9656042223781329,1.0
8,0,0.0,0.1,6,0.014414220281261362,0.0
8,1,0.1,0.2,1,0.19112342970127089,0.0
8,2,0.2,0.30000000000000004,0,,
8,3,0.30000000000000004,0.4,0,,
8,4,0.4,0.5,0,,
8,5,0.5,0.6000000000000001,0,,
8,6,0.6000000000000001,0.7000000000000001,0,,
8,7,0.7000000000000001,0.8,1,0.730742679971789,1.0
8,8,0.8,0.9,1,0.8977975447984241,1.0
8,9,0.9,1.0,5,0.979489457106969,1.0
9,0,0.0,0.1,6,0.0316118145554165,0.0
9,1,0.1,0.2,0,,
9,2,0.2,0.30000000000000004,0,,
9,3,0.30000000000000004,0.4,0,,
9,4,0.4,0.5,0,,
9,5,0.5,0.6000000000000001,0,,
9,6,0.6000000000000001,0.7000000000000001,0,,
9,7,0.7000000000000001,0.8,0,,
9,8,0.8,0.9,2,0.8715251747188748,1.0
9,9,0.9,1.0,6,0.9794139457964457,1.0
10,0,0.0,0.1,6,0.046158246843662216,0.0
10,1,0.1,0.2,1,0.11397192934414624,1.0
10,2,0.2,0.30000000000000004,1,0.2907388239884172,1.0
10,3,0.30000000000000004,0.4,0,,
10,4,0.4,0.5,0,,
10,5,0.5,0.6000000000000001,0,,
10,6,0.6000000000000001,0.7000000000000001,0,,
10,7,0.7000000000000001,0.8,1,0.7987419561502449,1.0
10,8,0.8,0.9,0,,
10,9,0.9,1.0,5,0.9687334693416665,1.0
11,0,0.0,0.1,3,0.020203803714250807,0.0
11,1,0.1,0.2,4,0.12258826792775772,0.0
11,2,0.2,0.30000000000000004,0,,
11,3,0.30000000000000004,0.4,0,,
11,4,0.4,0.5,1,0.47362414592932317,0.0
11,5,0.5,0.6000000000000001,1,0.5026124141024044,0.0
11,6,0.6000000000000001,0.7000000000000001,0,,
11,7,0.7000000000000001,0.8,0,,
11,8,0.8,0.9,2,0.8907454604783467,1.0
11,9,0.9,1.0,3,0.9624420335539714,1.0
12,0,0.0,0.1,3,0.059890627949297,0.0
12,1,0.1,0.2,1,0.12873955690714917,0.0
12,2,0.2,0.30000000000000004,1,0.2802796270965684,0.0
12,3,0.30000000000000004,0.4,0,,
12,4,0.4,0.5,1,0.4174877615670586,0.0
12,5,0.5,0.6000000000000001,0,,
12,6,0.6000000000000001,0.7000000000000001,1,0.6988934717861621,1.0
12,7,0.7000000000000001,0.8,0,,
12,8,0.8,0.9,0,,
12,9,0.9,1.0,7,0.9587762327477581,1.0
13,0,0.0,0.1,2,0.0032693972785334527,0.0
13,1,0.1,0.2,1,0.11786172704711449,0.0
13,2,0.2,0.30000000000000004,1,0.2186614604804212,0.0
13,3,0.30000000000000004,0.4,0,,
13,4,0.4,0.5,0,,
13,5,0.5,0.6000000000000001,1,0.5159996843084003,1.0
13,6,0.6000000000000001,0.7000000000000001,0,,
13,7,0.7000000000000001,0.8,1,0.7470830595489126,1.0
13,8,0.8,0.9,1,0.8834697342766472,1.0
13,9,0.9,1.0,7,0.9771309859422092,1.0
14,0,0.0,0.1,8,0.010326193432685012,0.0
14,1,0.1,0.2,1,0.17531368690145807,0.0
14,2,0.2,0.30000000000000004,0,,
14,3,0.30000000000000004,0.4,1,0.3052962405877242,1.0
14,4,0.4,0.5,0,,
14,5,0.5,0.6000000000000001,0,,
14,6,0.6000000000000001,0.7000000000000001,0,,
14,7,0.7000000000000001,0.8,0,,
14,8,0.8,0.9,1,0.8806180065943894,1.0
