split,alpha,n_test,n_test_pd,n_test_ctrl,q,cov_all,cov_pd,cov_ctrl
0,0.1,14,7,7,0.9527654185122745,1.0,1.0,1.0
1,0.1,14,8,6,0.9868614035265026,1.0,1.0,1.0
2,0.1,14,6,8,0.4266254285320866,0.9285714285714286,1.0,0.875
3,0.1,14,7,7,0.9350487120178294,1.0,1.0,1.0
4,0.1,14,6,8,0.145997024602882,0.7857142857142857,0.8333333333333334,0.75
5,0.1,14,7,7,0.22456989314180054,0.7857142857142857,0.7142857142857143,0.8571428571428571
6,0.1,14,9,5,0.9937241257278057,1.0,1.0,1.0
7,0.1,14,6,8,0.4242274482181533,0.9285714285714286,1.0,0.875
8,0.1,14,9,5,0.3158780605129976,0.8571428571428571,1.0,0.6
9,0.1,14,4,10,0.4429075005364078,1.0,1.0,1.0
10,0.1,14,6,8,0.4838564399359424,0.8571428571428571,0.6666666666666666,1.0
11,0.1,14,6,8,0.253834582650037,0.9285714285714286,0.8333333333333334,1.0
12,0.1,14,8,6,0.9819423474834398,1.0,1.0,1.0
13,0.1,14,8,6,0.3425193635090287,0.9285714285714286,0.875,1.0
14,0.1,14,7,7,0.45318712146043194,0.9285714285714286,0.8571428571428571,1.0
15,0.1,14,6,8,0.34438332744030564,1.0,1.0,1.0
16,0.1,14,7,7,0.32962430836220324,1.0,1.0,1.0
17,0.1,14,9,5,0.41001348642240076,0.9285714285714286,1.0,0.8
18,0.1,14,9,5,0.7718472618293193,1.0,1.0,1.0
19,0.1,14,6,8,0.367939157824541,0.9285714285714286,1.0,0.875
20,0.1,14,6,8,0.0696559975703499,0.7857142857142857,1.0,0.625
21,0.1,14,7,7,0.31645077379523046,0.8571428571428571,1.0,0.7142857142857143
22,0.1,14,5,9,0.9963776380171663,0.9285714285714286,0.8,1.0
23,0.1,14,9,5,0.30749120417700304,0.9285714285714286,0.8888888888888888,1.0
24,0.1,14,9,5,0.4415213575346275,0.9285714285714286,0.8888888888888888,1.0
25,0.1,14,7,7,0.9422730435700938,1.0,1.0,1.0
26,0.1,14,4,10,0.19998148537275362,0.7142857142857143,0.75,0.7
27,0.1,14,10,4,0.7122219494810142,1.0,1.0,1.0
28,0.1,14,8,6,0.22992535222915367,0.7857142857142857,0.875,0.6666666666666666
29,0.1,14,8,6,0.36871413923032037,1.0,1.0,1.0
30,0.1,14,9,5,0.9821405867754489,0.8571428571428571,0.7777777777777778,1.0
31,0.1,14,7,7,0.9422663613472402,0.9285714285714286,1.0,0.8571428571428571
32,0.1,14,8,6,0.29155266839728633,0.9285714285714286,1.0,0.8333333333333334
33,0.1,14,4,10,0.4889911553336096,1.0,1.0,1.0
34,0.1,14,7,7,0.42753236842370124,1.0,1.0,1.0
35,0.1,14,9,5,0.6508703260893294,1.0,1.0,1.0
36,0.1,14,9,5,0.23666614751762616,0.8571428571428571,0.8888888888888888,0.8
37,0.1,14,6,8,0.07730981797625136,0.5,0.6666666666666666,0.375
38,0.1,14,9,5,0.6369396698710752,0.9285714285714286,0.8888888888888888,1.0
39,0.1,14,5,9,0.0811678361379472,0.42857142857142855,0.6,0.3333333333333333
40,0.1,14,9,5,0.9316407061170753,1.0,1.0,1.0
41,0.1,14,8,6,0.8808619928126895,1.0,1.0,1.0
42,0.1,14,8,6,0.9999762232459372,1.0,1.0,1.0
43,0.1,14,8,6,0.7069466053709159,1.0,1.0,1.0
44,0.1,14,6,8,0.9343681034499898,1.0,1.0,1.0
45,0.1,14,8,6,0.47132936295445027,1.0,1.0,1.0
46,0.1,14,6,8,0.22715989236316525,0.7142857142857143,0.5,0.875
47,0.1,14,7,7,0.06760475036971547,0.42857142857142855,0.2857142857142857,0.5714285714285714
48,0.1,14,7,7,0.5073954343728256,0.9285714285714286,1.0,0.8571428571428571
49,0.1,14,7,7,0.4454967502455496,0.7857142857142857,0.7142857142857143,0.8571428571428571
