split,n_test,coverage,coverage_pd,coverage_control,avg_set_size,singleton_rate,singleton_acc,auc
1,12,1.0,1.0,1.0,2.0,0.0,,0.9444444444444445
2,12,1.0,1.0,1.0,2.0,0.0,,0.90625
3,12,1.0,1.0,1.0,2.0,0.0,,0.875
4,12,1.0,1.0,1.0,2.0,0.0,,1.0
5,12,1.0,1.0,1.0,1.5,0.5,1.0,0.75
6,12,1.0,1.0,1.0,2.0,0.0,,0.9629629629629629
7,12,1.0,1.0,1.0,2.0,0.0,,0.9259259259259259
8,12,1.0,1.0,1.0,2.0,0.0,,0.9142857142857144
9,12,1.0,1.0,1.0,2.0,0.0,,1.0
10,12,1.0,1.0,1.0,2.0,0.0,,0.8333333333333334
11,12,1.0,1.0,1.0,1.4166666666666667,0.5833333333333334,1.0,1.0
12,12,1.0,1.0,1.0,2.0,0.0,,1.0
13,12,1.0,1.0,1.0,2.0,0.0,,0.8333333333333334
14,12,1.0,1.0,1.0,2.0,0.0,,0.90625
15,12,1.0,1.0,1.0,2.0,0.0,,0.7714285714285716
16,12,1.0,1.0,1.0,2.0,0.0,,0.8055555555555556
17,12,1.0,1.0,1.0,2.0,0.0,,1.0
18,12,1.0,1.0,1.0,2.0,0.0,,0.9428571428571428
19,12,1.0,1.0,1.0,2.0,0.0,,0.7142857142857143
20,12,1.0,1.0,1.0,2.0,0.0,,1.0
21,12,1.0,1.0,1.0,2.0,0.0,,1.0
22,12,1.0,1.0,1.0,2.0,0.0,,0.90625
23,12,1.0,1.0,1.0,2.0,0.0,,0.9142857142857143
24,12,1.0,1.0,1.0,2.0,0.0,,0.9714285714285715
25,12,1.0,1.0,1.0,2.0,0.0,,0.7428571428571429
26,12,1.0,1.0,1.0,2.0,0.0,,0.6571428571428571
27,12,1.0,1.0,1.0,2.0,0.0,,0.9722222222222223
28,12,1.0,1.0,1.0,2.0,0.0,,0.9714285714285715
29,12,1.0,1.0,1.0,2.0,0.0,,1.0
30,12,1.0,1.0,1.0,2.0,0.0,,0.9428571428571428
31,12,1.0,1.0,1.0,2.0,0.0,,0.8285714285714285
32,12,1.0,1.0,1.0,2.0,0.0,,0.6875
33,12,1.0,1.0,1.0,2.0,0.0,,0.9375
34,12,1.0,1.0,1.0,2.0,0.0,,0.7777777777777778
35,12,1.0,1.0,1.0,2.0,0.0,,0.7428571428571429
36,12,1.0,1.0,1.0,2.0,0.0,,1.0
37,12,1.0,1.0,1.0,2.0,0.0,,0.8055555555555556
38,12,1.0,1.0,1.0,2.0,0.0,,0.9142857142857143
39,12,1.0,1.0,1.0,2.0,0.0,,0.9714285714285715
40,12,1.0,1.0,1.0,2.0,0.0,,0.9714285714285715
41,12,1.0,1.0,1.0,2.0,0.0,,1.0
42,12,1.0,1.0,1.0,2.0,0.0,,1.0
43,12,1.0,1.0,1.0,2.0,0.0,,1.0
44,12,1.0,1.0,1.0,2.0,0.0,,1.0
45,12,1.0,1.0,1.0,2.0,0.0,,1.0
46,12,1.0,1.0,1.0,2.0,0.0,,0.8571428571428572
47,12,1.0,1.0,1.0,2.0,0.0,,1.0
48,12,1.0,1.0,1.0,2.0,0.0,,0.8125
49,12,1.0,1.0,1.0,2.0,0.0,,1.0
50,12,1.0,1.0,1.0,2.0,0.0,,0.657142857142857
