split,n_test,n_cal,coverage,coverage_pd,coverage_control,singleton_rate,singleton_acc,avg_set_size,auc
1,9,19,1.0,1.0,1.0,0.2222222222222222,1.0,1.7777777777777777,0.9
2,9,19,1.0,1.0,1.0,0.4444444444444444,1.0,1.5555555555555556,1.0
3,9,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,9,19,1.0,1.0,1.0,0.7777777777777778,1.0,1.2222222222222223,0.95
5,9,19,1.0,1.0,1.0,0.7777777777777778,1.0,1.2222222222222223,0.95
6,9,19,0.8888888888888888,1.0,0.75,0.6666666666666666,0.8333333333333334,1.3333333333333333,0.75
7,9,19,0.8888888888888888,1.0,0.75,0.8888888888888888,0.875,1.1111111111111112,0.8
8,9,19,1.0,1.0,1.0,0.0,,2.0,0.85
9,9,19,1.0,1.0,1.0,0.1111111111111111,1.0,1.8888888888888888,0.95
10,9,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,9,19,0.8888888888888888,0.8,1.0,0.7777777777777778,0.8571428571428571,1.2222222222222223,0.9
12,9,19,1.0,1.0,1.0,0.2222222222222222,1.0,1.7777777777777777,1.0
13,9,19,0.7777777777777778,0.6,1.0,0.7777777777777778,0.7142857142857143,1.2222222222222223,1.0
14,9,19,0.8888888888888888,1.0,0.75,0.8888888888888888,1.0,0.8888888888888888,1.0
15,9,19,1.0,1.0,1.0,0.7777777777777778,1.0,1.2222222222222223,1.0
16,9,19,0.8888888888888888,0.8,1.0,0.5555555555555556,0.8,1.4444444444444444,0.8
17,9,19,1.0,1.0,1.0,0.8888888888888888,1.0,1.1111111111111112,1.0
18,9,19,1.0,1.0,1.0,0.0,,2.0,0.8
19,9,19,0.8888888888888888,0.8,1.0,1.0,0.8888888888888888,1.0,0.9
20,9,19,1.0,1.0,1.0,0.0,,2.0,0.85
21,9,19,0.8888888888888888,1.0,0.75,1.0,0.8888888888888888,1.0,0.95
22,9,19,0.8888888888888888,0.8,1.0,0.4444444444444444,0.75,1.5555555555555556,0.8
23,9,19,0.8888888888888888,1.0,0.75,1.0,0.8888888888888888,1.0,1.0
24,9,19,0.8888888888888888,0.8,1.0,0.2222222222222222,0.5,1.7777777777777777,0.8
25,9,19,1.0,1.0,1.0,0.5555555555555556,1.0,1.4444444444444444,0.9
26,9,19,0.7777777777777778,0.8,0.75,0.7777777777777778,0.7142857142857143,1.2222222222222223,0.8
27,9,19,0.8888888888888888,0.8,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0
28,9,19,0.6666666666666666,0.6,0.75,1.0,0.6666666666666666,1.0,0.9
29,9,19,1.0,1.0,1.0,0.0,,2.0,0.6000000000000001
30,9,19,1.0,1.0,1.0,0.6666666666666666,1.0,1.3333333333333333,1.0
31,9,19,0.8888888888888888,0.8,1.0,0.5555555555555556,0.8,1.4444444444444444,0.85
32,9,19,0.8888888888888888,0.8,1.0,0.6666666666666666,0.8333333333333334,1.3333333333333333,0.8500000000000001
33,9,19,0.8888888888888888,0.8,1.0,1.0,0.8888888888888888,1.0,1.0
34,9,19,0.7777777777777778,0.8,0.75,1.0,0.7777777777777778,1.0,0.8
35,9,19,1.0,1.0,1.0,0.2222222222222222,1.0,1.7777777777777777,0.9
36,9,19,1.0,1.0,1.0,0.2222222222222222,1.0,1.7777777777777777,0.75
37,9,19,0.8888888888888888,1.0,0.75,1.0,0.8888888888888888,1.0,0.8
38,9,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,9,19,1.0,1.0,1.0,0.1111111111111111,1.0,1.8888888888888888,1.0
40,9,19,1.0,1.0,1.0,0.5555555555555556,1.0,1.4444444444444444,1.0
41,9,19,1.0,1.0,1.0,0.7777777777777778,1.0,1.2222222222222223,1.0
42,9,19,0.8888888888888888,1.0,0.75,1.0,0.8888888888888888,1.0,1.0
43,9,19,1.0,1.0,1.0,0.2222222222222222,1.0,1.7777777777777777,0.95
44,9,19,1.0,1.0,1.0,0.2222222222222222,1.0,1.7777777777777777,0.95
45,9,19,1.0,1.0,1.0,0.2222222222222222,1.0,1.7777777777777777,1.0
46,9,19,0.7777777777777778,0.6,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.6
47,9,19,0.8888888888888888,1.0,0.75,0.8888888888888888,0.875,1.1111111111111112,0.95
48,9,19,0.7777777777777778,0.8,0.75,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.6500000000000001
49,9,19,0.8888888888888888,0.8,1.0,0.7777777777777778,0.8571428571428571,1.2222222222222223,0.9
50,9,19,0.8888888888888888,1.0,0.75,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.75
