split,n_test,coverage,coverage_pd,coverage_control,avg_set_size,singleton_rate,singleton_acc,auc
1,10,1.0,1.0,1.0,1.6,0.4,1.0,0.9583333333333334
2,10,0.8,0.6666666666666666,0.8571428571428571,1.1,0.9,0.7777777777777778,0.6190476190476191
3,10,1.0,1.0,1.0,2.0,0.0,,0.75
4,10,1.0,1.0,1.0,2.0,0.0,,1.0
5,10,0.7,0.5714285714285714,1.0,1.0,1.0,0.7,0.9523809523809524
6,10,1.0,1.0,1.0,1.2,0.8,1.0,1.0
7,10,1.0,1.0,1.0,2.0,0.0,,1.0
8,10,0.9,1.0,0.75,1.3,0.7,0.8571428571428571,0.875
9,10,1.0,1.0,1.0,1.7,0.3,1.0,1.0
10,10,0.9,0.75,1.0,1.0,1.0,0.9,0.875
11,10,0.9,0.8571428571428571,1.0,1.7,0.3,0.6666666666666666,0.8571428571428571
12,10,0.8,1.0,0.6666666666666666,1.0,1.0,0.8,1.0
13,10,0.8,0.75,0.8333333333333334,1.7,0.3,0.3333333333333333,0.625
14,10,1.0,1.0,1.0,1.5,0.5,1.0,1.0
15,10,1.0,1.0,1.0,1.6,0.4,1.0,1.0
16,10,0.9,0.8,1.0,1.0,1.0,0.9,0.8400000000000001
17,10,1.0,1.0,1.0,1.4,0.6,1.0,0.88
18,10,1.0,1.0,1.0,2.0,0.0,,0.8
19,10,1.0,1.0,1.0,2.0,0.0,,0.7619047619047619
20,10,1.0,1.0,1.0,1.1,0.9,1.0,1.0
21,10,1.0,1.0,1.0,1.5,0.5,1.0,1.0
22,10,0.9,0.8571428571428571,1.0,1.0,1.0,0.9,1.0
23,10,0.9,0.8333333333333334,1.0,1.3,0.7,0.8571428571428571,0.7916666666666666
24,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,10,1.0,1.0,1.0,1.6,0.4,1.0,1.0
26,10,0.8,0.6,1.0,1.8,0.2,0.0,0.56
27,10,1.0,1.0,1.0,1.3,0.7,1.0,1.0
28,10,0.9,0.8333333333333334,1.0,1.8,0.2,0.5,0.8333333333333334
29,10,1.0,1.0,1.0,1.1,0.9,1.0,1.0
30,10,0.9,0.75,1.0,1.2,0.8,0.875,0.9166666666666667
31,10,1.0,1.0,1.0,1.2,0.8,1.0,1.0
32,10,0.9,0.6666666666666666,1.0,1.3,0.7,0.8571428571428571,0.6190476190476191
33,10,0.9,0.8333333333333334,1.0,1.0,1.0,0.9,1.0
34,10,0.9,1.0,0.8,1.7,0.3,0.6666666666666666,0.68
35,10,0.8,1.0,0.6666666666666666,1.1,0.9,0.7777777777777778,0.7500000000000001
36,10,1.0,1.0,1.0,1.6,0.4,1.0,0.9583333333333334
37,10,0.9,1.0,0.8,1.3,0.7,0.8571428571428571,0.8
38,10,0.7,1.0,0.5714285714285714,1.1,0.9,0.6666666666666666,0.9523809523809524
39,10,0.9,0.6666666666666666,1.0,1.9,0.1,0.0,0.6666666666666666
40,10,0.9,1.0,0.6666666666666666,1.2,0.8,0.875,0.8571428571428572
41,10,1.0,1.0,1.0,1.2,0.8,1.0,1.0
42,10,1.0,1.0,1.0,1.7,0.3,1.0,0.92
43,10,0.9,0.8571428571428571,1.0,1.3,0.7,0.8571428571428571,0.8571428571428571
44,10,1.0,1.0,1.0,1.9,0.1,1.0,1.0
45,10,1.0,1.0,1.0,1.9,0.1,1.0,0.8333333333333334
46,10,0.9,0.8333333333333334,1.0,1.8,0.2,0.5,0.7916666666666666
47,10,1.0,1.0,1.0,1.6,0.4,1.0,0.9583333333333334
48,10,1.0,1.0,1.0,2.0,0.0,,0.8095238095238095
49,10,1.0,1.0,1.0,2.0,0.0,,1.0
50,10,1.0,1.0,1.0,2.0,0.0,,0.8400000000000001
