split,method,n_test,n_cal_pd,n_cal_control,coverage,coverage_pd,coverage_control,avg_set_size,singleton_rate,singleton_acc,auc
1,pooled,10,11,7,1.0,1.0,1.0,1.6,0.4,1.0,0.9583333333333334
2,mondrian,10,8,10,0.9,1.0,0.8571428571428571,1.8,0.2,0.5,0.6190476190476191
3,mondrian,10,10,8,1.0,1.0,1.0,2.0,0.0,,0.75
4,pooled,10,11,7,1.0,1.0,1.0,2.0,0.0,,1.0
5,pooled,10,5,13,0.7,0.5714285714285714,1.0,1.0,1.0,0.7,0.9523809523809524
6,mondrian,10,9,9,1.0,1.0,1.0,1.2,0.8,1.0,1.0
7,mondrian,10,10,8,1.0,1.0,1.0,2.0,0.0,,1.0
8,mondrian,10,9,9,0.8,0.8333333333333334,0.75,1.2,0.8,0.75,0.875
9,mondrian,10,10,8,1.0,1.0,1.0,1.7,0.3,1.0,1.0
10,mondrian,10,9,9,0.9,0.75,1.0,1.0,1.0,0.9,0.875
11,pooled,10,5,13,0.9,0.8571428571428571,1.0,1.7,0.3,0.6666666666666666,0.8571428571428571
12,pooled,10,11,7,0.8,1.0,0.6666666666666666,1.0,1.0,0.8,1.0
13,mondrian,10,10,8,0.9,0.75,1.0,1.4,0.6,0.8333333333333334,0.625
14,pooled,10,6,12,1.0,1.0,1.0,1.5,0.5,1.0,1.0
15,mondrian,10,10,8,1.0,1.0,1.0,1.7,0.3,1.0,1.0
16,mondrian,10,8,10,1.0,1.0,1.0,1.6,0.4,1.0,0.8400000000000001
17,mondrian,10,8,10,1.0,1.0,1.0,1.7,0.3,1.0,0.88
18,pooled,10,11,7,1.0,1.0,1.0,2.0,0.0,,0.8
19,mondrian,10,10,8,1.0,1.0,1.0,2.0,0.0,,0.7619047619047619
20,mondrian,10,9,9,0.7,1.0,0.5,0.8,0.8,0.875,1.0
21,pooled,10,13,5,1.0,1.0,1.0,1.5,0.5,1.0,1.0
22,mondrian,10,8,10,0.9,1.0,0.6666666666666666,1.2,0.8,0.875,1.0
23,mondrian,10,9,9,0.9,0.8333333333333334,1.0,1.2,0.8,0.875,0.7916666666666666
24,mondrian,10,10,8,1.0,1.0,1.0,1.4,0.6,1.0,1.0
25,mondrian,10,8,10,1.0,1.0,1.0,1.7,0.3,1.0,1.0
26,pooled,10,7,11,0.8,0.6,1.0,1.8,0.2,0.0,0.56
27,pooled,10,7,11,1.0,1.0,1.0,1.3,0.7,1.0,1.0
28,mondrian,10,8,10,0.9,1.0,0.75,1.4,0.6,0.8333333333333334,0.8333333333333334
29,mondrian,10,9,9,1.0,1.0,1.0,1.1,0.9,1.0,1.0
30,pooled,10,11,7,0.9,0.75,1.0,1.2,0.8,0.875,0.9166666666666667
31,mondrian,10,9,9,1.0,1.0,1.0,1.1,0.9,1.0,1.0
32,pooled,10,11,7,0.9,0.6666666666666666,1.0,1.3,0.7,0.8571428571428571,0.6190476190476191
33,mondrian,10,9,9,0.9,0.8333333333333334,1.0,1.0,1.0,0.9,1.0
34,pooled,10,12,6,0.9,1.0,0.8,1.7,0.3,0.6666666666666666,0.68
35,mondrian,10,8,10,0.6,1.0,0.3333333333333333,1.2,0.8,0.5,0.7500000000000001
36,mondrian,10,8,10,1.0,1.0,1.0,1.9,0.1,1.0,0.9583333333333334
37,pooled,10,7,11,0.9,1.0,0.8,1.3,0.7,0.8571428571428571,0.8
38,mondrian,10,9,9,0.7,1.0,0.5714285714285714,1.1,0.9,0.6666666666666666,0.9523809523809524
39,pooled,10,11,7,0.9,0.6666666666666666,1.0,1.9,0.1,0.0,0.6666666666666666
40,mondrian,10,10,8,1.0,1.0,1.0,1.8,0.2,1.0,0.8571428571428572
41,mondrian,10,9,9,1.0,1.0,1.0,1.2,0.8,1.0,1.0
42,mondrian,10,10,8,1.0,1.0,1.0,1.7,0.3,1.0,0.92
43,mondrian,10,10,8,0.9,0.8571428571428571,1.0,1.6,0.4,0.75,0.8571428571428571
44,mondrian,10,8,10,1.0,1.0,1.0,2.0,0.0,,1.0
45,pooled,10,12,6,1.0,1.0,1.0,1.9,0.1,1.0,0.8333333333333334
46,mondrian,10,9,9,0.9,0.8333333333333334,1.0,1.5,0.5,0.8,0.7916666666666666
47,mondrian,10,10,8,1.0,1.0,1.0,1.8,0.2,1.0,0.9583333333333334
48,mondrian,10,8,10,0.8,1.0,0.3333333333333333,1.2,0.8,0.75,0.8095238095238095
49,mondrian,10,10,8,1.0,1.0,1.0,2.0,0.0,,1.0
50,mondrian,10,10,8,1.0,1.0,1.0,2.0,0.0,,0.8400000000000001
