condition,variant,split,n_test,n_decided,n_unsure,auc,coverage,decided_rate,unsure_rate,acc_decided
clean,baseline,1,12,11,1,1.0,1.0,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,2,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,3,12,9,3,1.0,0.75,0.75,0.25,1.0
clean,baseline,4,12,8,4,0.9166666666666667,0.9166666666666666,0.6666666666666666,0.3333333333333333,0.875
clean,baseline,5,12,11,1,1.0,1.0,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,6,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,7,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,8,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,9,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,10,12,9,3,1.0,0.75,0.75,0.25,1.0
clean,baseline,11,12,3,9,0.9722222222222223,1.0,0.25,0.75,1.0
clean,baseline,12,12,10,2,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0
clean,baseline,13,12,10,2,0.888888888888889,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8
clean,baseline,14,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,15,12,9,3,0.9722222222222223,0.75,0.75,0.25,1.0
clean,baseline,16,12,6,6,1.0,1.0,0.5,0.5,1.0
clean,baseline,17,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,18,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,19,12,9,3,0.9722222222222223,0.75,0.75,0.25,1.0
clean,baseline,20,12,6,6,1.0,0.5,0.5,0.5,1.0
clean,baseline,21,12,4,8,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
clean,baseline,22,12,10,2,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0
clean,baseline,23,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,24,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,25,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,26,12,11,1,0.9444444444444444,0.75,0.9166666666666666,0.08333333333333333,0.8181818181818182
clean,baseline,27,12,8,4,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
clean,baseline,28,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,29,12,12,0,0.9722222222222223,0.9166666666666666,1.0,0.0,0.9166666666666666
clean,baseline,30,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,31,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,32,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,33,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,34,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,35,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,36,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,37,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,38,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,39,12,10,2,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0
clean,baseline,40,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,41,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,42,12,7,5,1.0,0.5833333333333334,0.5833333333333334,0.4166666666666667,1.0
clean,baseline,43,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,44,12,10,2,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0
clean,baseline,45,12,10,2,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0
clean,baseline,46,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline,47,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,48,12,7,5,1.0,0.5833333333333334,0.5833333333333334,0.4166666666666667,1.0
clean,baseline,49,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline,50,12,12,0,0.9722222222222223,0.8333333333333334,1.0,0.0,0.8333333333333334
clean,baseline_plus_praat,1,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,2,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,3,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,4,12,0,12,0.8611111111111112,1.0,0.0,1.0,
clean,baseline_plus_praat,5,12,11,1,1.0,1.0,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,6,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,7,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,8,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,9,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,10,12,9,3,1.0,0.75,0.75,0.25,1.0
clean,baseline_plus_praat,11,12,0,12,0.9722222222222223,1.0,0.0,1.0,
clean,baseline_plus_praat,12,12,6,6,1.0,0.5,0.5,0.5,1.0
clean,baseline_plus_praat,13,12,11,1,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.8181818181818182
clean,baseline_plus_praat,14,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,15,12,9,3,0.9722222222222223,0.75,0.75,0.25,1.0
clean,baseline_plus_praat,16,12,3,9,1.0,1.0,0.25,0.75,1.0
clean,baseline_plus_praat,17,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,18,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,19,12,9,3,0.9722222222222223,0.75,0.75,0.25,1.0
clean,baseline_plus_praat,20,12,7,5,1.0,0.5833333333333334,0.5833333333333334,0.4166666666666667,1.0
clean,baseline_plus_praat,21,12,5,7,1.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,1.0
clean,baseline_plus_praat,22,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,23,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,24,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,25,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,26,12,11,1,0.9444444444444444,0.75,0.9166666666666666,0.08333333333333333,0.8181818181818182
clean,baseline_plus_praat,27,12,8,4,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
clean,baseline_plus_praat,28,12,10,2,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0
clean,baseline_plus_praat,29,12,11,1,0.9722222222222223,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.9090909090909091
clean,baseline_plus_praat,30,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,31,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,32,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,33,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,34,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,35,12,10,2,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0
clean,baseline_plus_praat,36,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,37,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,38,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,39,12,10,2,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0
clean,baseline_plus_praat,40,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,41,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,42,12,7,5,1.0,0.5833333333333334,0.5833333333333334,0.4166666666666667,1.0
clean,baseline_plus_praat,43,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,44,12,10,2,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,1.0
clean,baseline_plus_praat,45,12,9,3,1.0,0.75,0.75,0.25,1.0
clean,baseline_plus_praat,46,12,12,0,1.0,1.0,1.0,0.0,1.0
clean,baseline_plus_praat,47,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,48,12,7,5,0.9722222222222223,0.5833333333333334,0.5833333333333334,0.4166666666666667,1.0
clean,baseline_plus_praat,49,12,11,1,1.0,0.9166666666666666,0.9166666666666666,0.08333333333333333,1.0
clean,baseline_plus_praat,50,12,12,0,0.9722222222222223,0.8333333333333334,1.0,0.0,0.8333333333333334
